neighbourhood_group;neighbourhood;room_type;price;minimum_nights;number_of_reviews;reviews_per_month;calculated_host_listings_count;availability_365
Lisboa;Belm;Entire home/apt;36;3;25;0.39;1;0
Lisboa;Santa Maria Maior;Entire home/apt;60;3;112;1.64;1;331
Azambuja;Aveiras de Cima;Private room;53;1;0;;1;365
Lisboa;Areeiro;Private room;71;1;0;;1;365
Lisboa;Santa Maria Maior;Entire home/apt;60;3;319;2.94;1;365
Lisboa;Santa Maria Maior;Entire home/apt;60;2;226;2.47;2;316
Lisboa;Estrela;Entire home/apt;1000;2;51;0.47;2;310
Lisboa;Avenidas Novas;Entire home/apt;70;4;36;0.32;1;219
Lisboa;Misericrdia;Entire home/apt;70;1;356;3.29;15;340
Lisboa;Misericrdia;Entire home/apt;50;1;111;1.12;10;352
Lisboa;Misericrdia;Entire home/apt;65;5;16;0.16;5;360
Cascais;Cascais e Estoril;Entire home/apt;80;5;30;0.53;1;320
Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;Entire home/apt;185;3;41;0.79;1;336
Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;Entire home/apt;64;3;5;0.28;1;83
Alenquer;Alenquer (Santo Estvo e Triana);Entire home/apt;200;7;5;0.13;1;363
Lisboa;Estrela;Entire home/apt;60;2;37;0.38;2;355
Lisboa;Misericrdia;Entire home/apt;310;1;0;;1;365
Lisboa;Avenidas Novas;Private room;69;2;3;0.07;2;365
Lisboa;So Vicente;Entire home/apt;40;2;138;1.27;8;361
Lisboa;Misericrdia;Entire home/apt;80;2;53;0.51;1;329
Lisboa;Estrela;Entire home/apt;90;4;25;0.25;10;304
Lisboa;Campolide;Entire home/apt;70;4;10;0.64;4;200
Lisboa;Estrela;Entire home/apt;85;3;18;0.20;10;365
Cascais;Cascais e Estoril;Entire home/apt;32;3;140;1.34;1;343
Lisboa;So Vicente;Entire home/apt;80;2;212;2.10;2;0
Lisboa;Santa Maria Maior;Entire home/apt;76;1;68;0.75;26;343
Lisboa;Santa Maria Maior;Entire home/apt;105;3;179;1.73;1;316
Lisboa;Santo Antnio;Entire home/apt;65;3;89;0.86;1;327
Lisboa;So Vicente;Entire home/apt;75;3;35;0.33;1;265
Lisboa;Misericrdia;Entire home/apt;125;3;28;0.28;1;329
Lisboa;Santo Antnio;Entire home/apt;145;3;16;0.17;10;365
Lisboa;So Vicente;Entire home/apt;50;1;60;0.89;1;138
Lisboa;Estrela;Entire home/apt;85;3;73;0.81;1;344
Lisboa;So Vicente;Entire home/apt;80;2;57;1.38;12;355
Oeiras;Barcarena;Private room;17;1;11;0.40;2;362
Cascais;Cascais e Estoril;Private room;30;2;15;0.86;1;0
Lisboa;Estrela;Private room;360;1;0;;1;365
Lisboa;Alvalade;Private room;26;3;70;1.27;3;359
Cascais;Cascais e Estoril;Entire home/apt;99;4;11;0.11;2;231
Cascais;Alcabideche;Private room;77;1;0;;7;365
Lisboa;Estrela;Entire home/apt;48;3;216;2.14;9;37
Lisboa;So Vicente;Entire home/apt;80;2;57;0.56;1;331
Lisboa;Campo de Ourique;Entire home/apt;150;4;22;0.22;10;365
Lisboa;So Domingos de Benfica;Private room;65;1;0;;1;83
Lisboa;Misericrdia;Entire home/apt;62;3;75;0.73;1;270
Lisboa;Santa Maria Maior;Entire home/apt;40;2;182;1.82;2;295
Vila Franca De Xira;Vila Franca de Xira;Private room;50;1;0;;1;365
Lisboa;So Vicente;Entire home/apt;69;3;165;1.79;9;0
Sintra;Algueiro-Mem Martins;Private room;40;1;0;;1;365
Lisboa;Penha de Frana;Private room;25;1;233;3.60;4;80
Oeiras;Barcarena;Private room;40;1;0;;1;365
Lisboa;Arroios;Private room;30;3;179;1.77;2;354
Cascais;Carcavelos e Parede;Private room;66;6;15;0.17;2;362
Lisboa;Santa Maria Maior;Entire home/apt;40;2;252;2.50;2;345
Sintra;Colares;Private room;26;1;666;6.47;1;34
Lisboa;So Vicente;Entire home/apt;50;3;188;1.87;2;324
Lisboa;Misericrdia;Entire home/apt;75;2;221;2.17;2;209
Sintra;Algueiro-Mem Martins;Private room;40;1;0;;1;365
Lisboa;Santa Maria Maior;Entire home/apt;40;2;182;1.85;2;355
Lisboa;Misericrdia;Entire home/apt;65;7;2;0.02;5;365
Lisboa;Santa Maria Maior;Entire home/apt;35;2;276;2.70;1;250
Lisboa;Santa Maria Maior;Entire home/apt;90;2;106;1.06;3;0
Lisboa;Misericrdia;Entire home/apt;116;2;27;0.28;8;354
Cascais;Cascais e Estoril;Entire home/apt;55;2;23;0.26;65;318
Lisboa;Alvalade;Entire home/apt;500;1;0;;1;0
Mafra;Venda do Pinheiro e Santo Estvo das Gals;Private room;45;1;0;;1;365
Lisboa;Misericrdia;Entire home/apt;90;1;66;0.66;13;323
Lisboa;Santo Antnio;Entire home/apt;58;3;0;;1;232
Torres Vedras;Carvoeira e Carmes;Entire home/apt;60;2;0;;1;365
Sintra;Colares;Entire home/apt;173;3;49;0.56;2;251
Lisboa;Santa Maria Maior;Entire home/apt;80;2;12;0.30;4;152
Lisboa;So Vicente;Entire home/apt;75;2;7;0.16;4;318
Sintra;Colares;Entire home/apt;100;3;35;0.39;1;303
Lisboa;Misericrdia;Entire home/apt;50;1;110;1.22;5;2
Lisboa;Santa Maria Maior;Entire home/apt;70;1;115;1.19;3;358
Lisboa;Santa Maria Maior;Entire home/apt;60;2;110;1.10;3;362
Lisboa;Santa Maria Maior;Entire home/apt;59;2;131;1.29;3;355
Lisboa;Santa Maria Maior;Entire home/apt;42;2;382;3.76;16;347
Sintra;Rio de Mouro;Private room;45;2;3;0.10;4;365
Lisboa;Misericrdia;Entire home/apt;53;2;51;0.50;1;54
Lisboa;Alcntara;Entire home/apt;55;2;138;1.35;1;349
Cascais;Cascais e Estoril;Entire home/apt;55;25;10;0.25;1;0
Lisboa;Estrela;Entire home/apt;350;31;2;0.03;1;363
Lisboa;Misericrdia;Entire home/apt;90;3;236;2.47;8;341
Lisboa;Santa Maria Maior;Private room;29;1;127;1.26;2;58
Lisboa;Santo Antnio;Entire home/apt;100;2;13;0.75;4;260
Lisboa;Santo Antnio;Entire home/apt;180;2;12;0.57;4;30
Lisboa;Santa Maria Maior;Entire home/apt;70;4;191;2.10;1;309
Lisboa;Estrela;Entire home/apt;50;2;119;1.28;1;264
Lisboa;Alvalade;Private room;39;2;95;0.94;1;364
Lisboa;Alvalade;Private room;30;3;44;0.44;6;171
Lisboa;Santa Maria Maior;Entire home/apt;59;3;207;2.07;4;278
Lisboa;Santa Maria Maior;Entire home/apt;59;3;376;3.71;3;125
Lisboa;Misericrdia;Entire home/apt;77;4;141;1.40;1;0
Lisboa;So Vicente;Entire home/apt;69;4;86;0.91;1;334
Lisboa;Misericrdia;Entire home/apt;200;1;657;6.49;2;231
Lisboa;Santa Maria Maior;Entire home/apt;65;3;149;2.32;5;240
Lisboa;Santa Maria Maior;Entire home/apt;85;3;242;2.41;5;263
Oeiras;Barcarena;Private room;17;1;0;;2;0
Lisboa;Misericrdia;Entire home/apt;36;2;27;2.13;1;343
Lisboa;Santa Maria Maior;Entire home/apt;150;4;16;0.18;10;240
Lisboa;Santa Maria Maior;Entire home/apt;60;4;39;0.95;3;70
Lisboa;Santa Maria Maior;Entire home/apt;150;2;371;3.77;2;364
Lisboa;Misericrdia;Entire home/apt;90;4;220;2.29;3;217
Lisboa;Campo de Ourique;Entire home/apt;200;3;63;0.63;1;345
Lisboa;Santo Antnio;Private room;25;10;23;0.23;8;309
Cascais;Carcavelos e Parede;Private room;35;7;0;;1;365
Lisboa;Penha de Frana;Entire home/apt;47;4;157;1.61;2;0
Lisboa;Lumiar;Entire home/apt;38;7;16;0.39;1;328
Lisboa;Santa Maria Maior;Entire home/apt;95;2;81;0.84;18;262
Lisboa;Avenidas Novas;Entire home/apt;75;4;40;0.40;1;312
Lisboa;Santa Maria Maior;Entire home/apt;130;3;13;0.17;10;365
Lisboa;Santa Maria Maior;Entire home/apt;60;3;122;1.59;5;312
Lisboa;Estrela;Entire home/apt;55;3;14;0.16;9;120
Cascais;Cascais e Estoril;Entire home/apt;55;3;47;0.51;2;167
Lisboa;Santa Maria Maior;Entire home/apt;75;3;177;1.99;1;188
Lisboa;Misericrdia;Entire home/apt;80;2;182;1.83;1;0
Lisboa;Alvalade;Private room;30;4;27;0.48;2;320
Lisboa;Santa Maria Maior;Entire home/apt;70;2;184;1.85;2;271
Lisboa;Alvalade;Private room;22;5;0;;2;164
Lisboa;Campo de Ourique;Private room;28;1;0;;1;0
Sintra;Colares;Entire home/apt;80;5;19;0.28;1;248
Mafra;Igreja Nova e Cheleiros;Entire home/apt;60;2;21;0.25;5;354
Mafra;Igreja Nova e Cheleiros;Entire home/apt;180;2;5;0.10;5;80
Lisboa;Arroios;Private room;60;1;4;0.13;1;365
Lisboa;Misericrdia;Private room;55;3;11;0.11;2;15
Lisboa;Santa Maria Maior;Entire home/apt;59;1;277;3.26;6;0
Lisboa;So Vicente;Entire home/apt;45;3;147;1.60;9;210
Cascais;Carcavelos e Parede;Entire home/apt;35;3;97;1.27;1;271
Lisboa;Areeiro;Private room;39;1;44;0.79;30;0
Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;Entire home/apt;152;2;37;0.47;1;341
Cascais;Cascais e Estoril;Entire home/apt;45;3;79;0.81;1;181
Lisboa;Misericrdia;Entire home/apt;60;30;75;0.96;1;210
Lisboa;So Vicente;Entire home/apt;120;4;166;1.68;2;359
Lisboa;Campolide;Private room;40;2;291;3.22;2;180
Lisboa;Santa Maria Maior;Entire home/apt;150;3;26;0.89;1;265
Cascais;Alcabideche;Private room;65;1;0;;1;365
Lisboa;Santa Maria Maior;Entire home/apt;140;3;5;0.05;15;337
Sintra;Algueiro-Mem Martins;Private room;40;1;0;;1;0
Cascais;Cascais e Estoril;Private room;240;2;0;;1;365
Lisboa;Penha de Frana;Entire home/apt;45;2;274;2.94;2;333
Sintra;Colares;Entire home/apt;200;6;26;0.29;1;105
Lisboa;Santa Maria Maior;Entire home/apt;44;3;374;3.83;3;205
Lisboa;Arroios;Entire home/apt;54;3;33;0.37;15;337
Lisboa;Misericrdia;Entire home/apt;75;1;155;1.58;1;357
Sintra;Rio de Mouro;Private room;40;1;0;;1;365
Lisboa;Misericrdia;Entire home/apt;124;3;13;0.14;1;343
Lisboa;Santo Antnio;Entire home/apt;300;3;83;0.90;10;321
Lisboa;Misericrdia;Entire home/apt;59;3;305;3.52;1;312
Lisboa;Santo Antnio;Entire home/apt;55;4;14;0.15;1;252
Mafra;Ericeira;Entire home/apt;60;3;147;1.55;1;227
Lisboa;Santa Maria Maior;Entire home/apt;80;3;309;3.21;1;281
Lisboa;Santa Maria Maior;Entire home/apt;89;3;209;2.32;2;22
Sintra;Colares;Entire home/apt;80;3;37;0.40;11;90
Lisboa;Misericrdia;Entire home/apt;64;3;346;3.66;1;341
Lisboa;Avenidas Novas;Private room;65;1;0;;1;365
Lisboa;Santo Antnio;Entire home/apt;109;2;48;0.52;1;348
Lisboa;Campolide;Entire home/apt;90;28;20;0.23;4;240
Lisboa;Misericrdia;Private room;98;2;6;0.15;1;364
Lisboa;Santo Antnio;Entire home/apt;75;3;77;0.85;9;24
Torres Vedras;S.Pedro e Santiago, S.Maria e S.Miguel, e Mataces;Entire home/apt;210;2;19;0.36;1;344
Lisboa;Santa Maria Maior;Entire home/apt;119;2;86;0.99;17;166
Lisboa;Santa Maria Maior;Entire home/apt;88;3;67;0.76;17;321
Lisboa;Estrela;Entire home/apt;80;3;7;0.08;1;0
Cascais;Carcavelos e Parede;Entire home/apt;45;3;1;0.02;2;0
Cascais;Carcavelos e Parede;Entire home/apt;85;3;21;0.28;2;29
Cascais;Cascais e Estoril;Entire home/apt;55;3;7;0.07;65;73
Lisboa;Misericrdia;Entire home/apt;170;3;98;1.04;1;361
Cascais;Cascais e Estoril;Entire home/apt;61;2;24;0.29;65;352
Lisboa;Misericrdia;Entire home/apt;150;3;204;2.23;2;339
Lisboa;Estrela;Entire home/apt;65;3;85;0.89;1;243
Lisboa;Santo Antnio;Entire home/apt;180;3;2;0.06;10;365
Lisboa;Ajuda;Private room;40;1;55;0.80;1;362
Lisboa;Santa Maria Maior;Entire home/apt;80;3;18;0.20;1;0
Lisboa;Santo Antnio;Entire home/apt;120;3;9;0.13;10;331
Lisboa;Misericrdia;Entire home/apt;80;3;203;2.23;1;317
Lisboa;Misericrdia;Entire home/apt;230;2;110;1.31;32;330
Lisboa;Misericrdia;Entire home/apt;115;2;8;0.10;8;228
Lisboa;Misericrdia;Entire home/apt;75;3;272;2.85;22;339
Lisboa;Misericrdia;Entire home/apt;225;3;237;2.70;21;308
Cascais;Cascais e Estoril;Entire home/apt;64;3;35;0.39;1;331
Lisboa;Santa Maria Maior;Entire home/apt;150;3;4;0.06;21;281
Lisboa;Santo Antnio;Entire home/apt;69;2;530;5.58;1;341
Lisboa;Santa Maria Maior;Entire home/apt;100;1;234;2.48;66;307
Lisboa;Santa Maria Maior;Entire home/apt;105;1;206;2.20;66;285
Lisboa;Arroios;Entire home/apt;60;2;72;0.82;5;204
Lisboa;Misericrdia;Entire home/apt;85;3;166;1.73;8;346
Lisboa;Santo Antnio;Entire home/apt;80;3;74;0.80;5;318
Lisboa;Arroios;Entire home/apt;45;1;116;1.33;5;360
Lisboa;Misericrdia;Entire home/apt;115;2;18;0.21;8;355
Lisboa;Misericrdia;Entire home/apt;149;2;23;0.25;8;316
Sintra;Colares;Entire home/apt;60;3;122;1.38;2;339
Lisboa;Misericrdia;Entire home/apt;60;1;118;1.26;10;241
Lisboa;Misericrdia;Entire home/apt;60;3;397;4.28;1;320
Lisboa;Parque das Naes;Entire home/apt;80;2;10;0.12;1;342
Lisboa;Santa Maria Maior;Entire home/apt;60;3;286;3.02;16;348
Lisboa;Misericrdia;Entire home/apt;85;2;123;1.35;32;351
Lisboa;Santa Maria Maior;Entire home/apt;90;3;0;;3;365
Lisboa;Santa Maria Maior;Entire home/apt;85;3;1;0.03;3;345
Lisboa;Santa Maria Maior;Entire home/apt;57;2;3;0.06;3;351
Lisboa;Santa Maria Maior;Entire home/apt;135;3;19;0.21;17;317
Lisboa;Arroios;Entire home/apt;100;5;10;0.15;1;0
Cascais;Cascais e Estoril;Entire home/apt;76;3;96;1.40;2;266
Lisboa;Santa Maria Maior;Entire home/apt;110;3;217;2.33;1;238
Lourinh;Lourinh e Atalaia;Shared room;520;3;6;0.07;36;351
Lisboa;Arroios;Private room;29;5;46;0.51;4;352
Lisboa;Santa Maria Maior;Entire home/apt;47;2;396;4.22;2;67
Lisboa;So Vicente;Entire home/apt;50;3;380;4.05;6;77
Lisboa;Misericrdia;Entire home/apt;75;3;137;1.53;1;331
Lisboa;So Vicente;Entire home/apt;80;1;133;1.48;13;0
Lisboa;Misericrdia;Entire home/apt;99;3;41;0.88;1;182
Lisboa;Santa Maria Maior;Entire home/apt;156;2;65;0.78;192;28
Lisboa;Santa Maria Maior;Entire home/apt;146;3;8;0.12;192;33
Lisboa;Misericrdia;Entire home/apt;50;2;303;3.26;1;133
Lisboa;Santa Maria Maior;Entire home/apt;60;3;99;1.07;1;298
Lisboa;Santo Antnio;Entire home/apt;200;3;5;0.12;10;0
Lisboa;Santo Antnio;Entire home/apt;170;3;4;0.05;10;347
Lisboa;Santo Antnio;Entire home/apt;100;3;3;0.16;10;171
Lourinh;Reguengo Grande;Entire home/apt;80;5;61;0.78;3;338
Lisboa;Misericrdia;Entire home/apt;90;3;154;1.66;2;177
Lisboa;Avenidas Novas;Private room;35;3;88;0.99;2;30
Oeiras;Barcarena;Private room;100;30;0;;1;358
Lisboa;Arroios;Entire home/apt;80;4;224;2.74;1;320
Cascais;Cascais e Estoril;Entire home/apt;85;2;77;1.21;15;332
Lisboa;Santo Antnio;Private room;30;2;180;1.92;12;283
Lisboa;Estrela;Private room;25;3;34;0.37;1;307
Lisboa;Estrela;Entire home/apt;55;3;9;0.10;9;328
Lisboa;Santa Maria Maior;Entire home/apt;95;3;4;0.06;15;294
Lisboa;Misericrdia;Entire home/apt;135;3;2;0.03;15;13
Lisboa;Santo Antnio;Entire home/apt;60;3;142;1.54;22;278
Lisboa;Santa Maria Maior;Entire home/apt;55;2;436;4.69;1;343
Lisboa;Campo de Ourique;Entire home/apt;45;3;89;1.28;1;0
Lisboa;Santo Antnio;Private room;30;2;148;1.59;12;283
Lisboa;Santo Antnio;Entire home/apt;150;2;50;0.54;12;0
Lisboa;Misericrdia;Entire home/apt;45;3;167;1.83;2;332
Mafra;Ericeira;Entire home/apt;100;3;63;0.82;1;362
Lisboa;Avenidas Novas;Entire home/apt;90;3;76;0.96;1;263
Lisboa;Arroios;Entire home/apt;70;2;59;0.68;1;27
Lisboa;Misericrdia;Entire home/apt;105;5;4;0.04;55;300
Lisboa;Misericrdia;Entire home/apt;135;5;13;0.15;55;272
Lisboa;Santa Maria Maior;Entire home/apt;90;3;107;1.22;7;347
Lisboa;Alcntara;Entire home/apt;60;7;9;0.10;1;176
Lisboa;Santa Maria Maior;Entire home/apt;95;3;142;1.54;7;245
Lisboa;Misericrdia;Entire home/apt;129;5;13;0.15;55;300
Lisboa;Misericrdia;Entire home/apt;145;5;21;0.24;55;300
Lisboa;So Vicente;Entire home/apt;98;2;178;2.37;4;360
Cascais;Cascais e Estoril;Entire home/apt;70;3;126;1.45;4;288
Lisboa;Santa Maria Maior;Entire home/apt;245;3;20;0.23;7;0
Lisboa;Arroios;Private room;23;1;390;4.37;2;306
Lisboa;Santo Antnio;Entire home/apt;85;2;101;1.10;1;214
Loures;Sacavm e Prior Velho;Entire home/apt;60;3;48;2.83;1;73
Lisboa;Belm;Private room;110;1;2;0.03;3;0
Lisboa;Arroios;Entire home/apt;120;2;5;0.08;1;364
Mafra;Mafra;Entire home/apt;35;2;3;0.03;7;309
Cascais;Cascais e Estoril;Private room;50;1;114;1.28;2;349
Cadaval;Cadaval e Pro Moniz;Entire home/apt;90;4;44;0.50;6;361
Lisboa;Santa Maria Maior;Entire home/apt;50;2;139;1.57;2;222
Lisboa;Misericrdia;Entire home/apt;55;3;26;0.28;19;285
Lisboa;Santa Maria Maior;Entire home/apt;120;2;50;0.67;18;330
Lisboa;Santa Maria Maior;Entire home/apt;100;2;133;1.69;18;345
Sintra;Colares;Entire home/apt;103;2;204;2.31;4;0
Lisboa;Santa Maria Maior;Entire home/apt;50;3;96;1.10;2;182
Sintra;Colares;Entire home/apt;88;2;131;1.73;4;360
Lisboa;So Vicente;Entire home/apt;80;4;316;3.49;18;73
Lisboa;Santa Maria Maior;Private room;50;4;282;3.20;1;49
Lisboa;Misericrdia;Entire home/apt;120;3;3;0.04;29;325
Sintra;Colares;Entire home/apt;520;5;3;0.17;1;352
Lisboa;Misericrdia;Private room;45;3;261;3.12;1;28
Lisboa;Misericrdia;Entire home/apt;70;3;522;5.67;1;282
Lisboa;Santa Maria Maior;Entire home/apt;65;2;121;1.31;12;349
Cascais;Cascais e Estoril;Entire home/apt;55;3;41;0.46;2;180
Lisboa;Santa Maria Maior;Entire home/apt;55;2;171;1.87;12;338
Lisboa;Misericrdia;Entire home/apt;125;4;4;0.07;1;365
Lisboa;Santa Maria Maior;Entire home/apt;111;1;128;1.54;26;284
Lourinh;Lourinh e Atalaia;Entire home/apt;85;5;5;0.06;3;330
Lisboa;Santa Maria Maior;Entire home/apt;65;2;304;3.34;2;0
Lourinh;Lourinh e Atalaia;Entire home/apt;60;5;2;0.04;3;301
Lisboa;Santa Maria Maior;Entire home/apt;60;2;169;1.85;12;350
Lisboa;So Vicente;Entire home/apt;75;2;116;1.44;12;334
Lisboa;Santa Maria Maior;Entire home/apt;65;2;152;1.69;12;333
Lisboa;Santa Maria Maior;Entire home/apt;65;2;145;1.82;12;340
Lisboa;Santa Maria Maior;Entire home/apt;65;2;171;1.92;12;320
Lisboa;Avenidas Novas;Private room;40;2;23;0.72;1;344
Lourinh;Lourinh e Atalaia;Entire home/apt;70;5;11;0.20;3;0
Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;Entire home/apt;300;4;30;0.76;2;0
Lisboa;Santa Maria Maior;Entire home/apt;45;2;94;1.05;1;0
Lisboa;Santa Maria Maior;Entire home/apt;110;1;177;1.93;66;228
Cascais;Carcavelos e Parede;Entire home/apt;70;3;9;1.40;1;180
Lisboa;Misericrdia;Entire home/apt;105;1;93;1.02;66;272
Lisboa;Belm;Entire home/apt;69;3;115;1.30;4;180
Mafra;Ericeira;Private room;40;2;0;;1;365
Oeiras;Algs, Linda-a-Velha e Cruz Quebrada-Dafundo;Private room;22;2;30;1.02;1;331
Lisboa;Santa Maria Maior;Entire home/apt;49;1;359;4.31;1;281
Lisboa;Santa Maria Maior;Entire home/apt;50;1;84;0.92;13;323
Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;Private room;100;1;0;;1;365
Lisboa;Misericrdia;Entire home/apt;60;1;184;2.02;1;356
Lisboa;Avenidas Novas;Entire home/apt;55;2;193;2.16;3;63
Lisboa;Misericrdia;Entire home/apt;75;1;194;2.13;2;359
Lisboa;Misericrdia;Entire home/apt;65;2;147;1.62;1;57
Lisboa;So Vicente;Entire home/apt;55;2;301;3.40;1;344
Mafra;Ericeira;Entire home/apt;55;3;111;1.23;3;362
Lisboa;Santa Maria Maior;Entire home/apt;42;5;289;3.20;1;69
Lisboa;Santa Maria Maior;Entire home/apt;60;3;342;3.81;1;0
Lisboa;Santa Maria Maior;Entire home/apt;79;3;25;0.35;18;350
Lisboa;So Vicente;Entire home/apt;59;3;2;0.04;18;5
Lisboa;So Vicente;Entire home/apt;79;3;42;0.46;18;345
Lisboa;Santa Maria Maior;Entire home/apt;65;3;296;3.27;16;265
Lisboa;Arroios;Entire home/apt;65;3;80;1.17;1;81
Lisboa;Estrela;Private room;60;1;18;0.84;2;364
Lisboa;Campolide;Private room;45;3;0;;2;0
Lisboa;So Vicente;Entire home/apt;80;2;479;5.39;1;234
Lisboa;Penha de Frana;Entire home/apt;60;3;37;0.82;1;353
Lisboa;So Vicente;Entire home/apt;95;4;298;3.31;11;5
Oeiras;Oeiras e S.Julio da Barra, Pao de Arcos e Caxias;Private room;45;1;0;;1;365
Lisboa;Santa Maria Maior;Entire home/apt;67;3;399;4.37;3;302
Sintra;So Joo das Lampas e Terrugem;Entire home/apt;60;3;100;1.64;3;292
Lisboa;Santa Maria Maior;Entire home/apt;94;3;299;3.33;20;152
Lisboa;Santa Maria Maior;Entire home/apt;54;2;255;2.89;1;233
Lisboa;Misericrdia;Entire home/apt;50;2;384;4.24;3;250
Lisboa;Santa Maria Maior;Entire home/apt;32;2;288;3.23;2;163
Lisboa;Penha de Frana;Private room;26;2;10;0.16;5;300
Sintra;Rio de Mouro;Entire home/apt;65;7;6;0.12;1;363
Lisboa;Misericrdia;Entire home/apt;65;7;18;0.20;5;360
Lisboa;Avenidas Novas;Private room;55;1;1;0.01;1;0
Lisboa;Santa Maria Maior;Entire home/apt;110;2;62;0.76;18;240
Lisboa;Misericrdia;Entire home/apt;65;3;215;2.37;3;351
Cascais;Carcavelos e Parede;Private room;10;1;80;0.89;2;334
Torres Vedras;So Pedro da Cadeira;Entire home/apt;200;4;49;0.55;3;177
Lisboa;Santa Maria Maior;Entire home/apt;44;2;185;2.04;2;23
Cascais;Alcabideche;Private room;133;6;1;0.01;2;364
Lisboa;Penha de Frana;Entire home/apt;55;4;153;1.72;1;9
Torres Vedras;Ramalhal;Private room;45;1;0;;1;365
Lisboa;Misericrdia;Entire home/apt;62;4;83;0.95;1;163
Lisboa;Misericrdia;Entire home/apt;120;2;59;0.67;18;39
Lisboa;Santa Maria Maior;Entire home/apt;90;3;1;0.37;21;345
Lisboa;Misericrdia;Entire home/apt;45;3;224;2.48;1;355
Lisboa;Ajuda;Private room;60;1;223;2.94;1;362
Lisboa;Penha de Frana;Entire home/apt;40;2;87;1.34;1;347
Lisboa;Misericrdia;Entire home/apt;150;3;257;2.89;4;278
Mafra;Igreja Nova e Cheleiros;Entire home/apt;60;2;42;0.52;5;354
Lisboa;Santo Antnio;Private room;26;5;61;0.69;2;255
Sintra;Colares;Entire home/apt;210;1;17;0.19;3;364
Lisboa;Arroios;Entire home/apt;230;3;23;0.26;70;339
Lisboa;Santa Maria Maior;Entire home/apt;110;3;143;1.60;6;330
Lisboa;Misericrdia;Entire home/apt;58;2;70;0.88;1;239
Lisboa;Santa Maria Maior;Entire home/apt;120;2;74;0.83;18;265
Lisboa;Santa Maria Maior;Entire home/apt;160;2;120;1.47;1;303
Lisboa;Santa Maria Maior;Entire home/apt;80;2;267;2.98;1;361
Lisboa;Misericrdia;Entire home/apt;70;25;8;0.12;1;148
Sintra;Rio de Mouro;Entire home/apt;55;2;182;2.02;1;365
Lisboa;So Vicente;Entire home/apt;84;2;164;1.87;4;361
Lisboa;Misericrdia;Entire home/apt;60;3;53;0.68;1;358
Lisboa;Avenidas Novas;Private room;35;3;3;0.06;1;364
Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;Entire home/apt;69;3;199;2.22;1;320
Lisboa;Campo de Ourique;Entire home/apt;26;1;129;1.43;6;346
Lisboa;Misericrdia;Entire home/apt;100;3;205;2.35;22;334
Lisboa;Santa Maria Maior;Entire home/apt;125;2;336;3.80;2;358
Lisboa;Santa Maria Maior;Entire home/apt;70;3;42;0.75;1;328
Lisboa;Santo Antnio;Private room;34;2;39;2.09;4;362
Cascais;Cascais e Estoril;Entire home/apt;80;4;80;1.05;1;272
Cascais;Cascais e Estoril;Private room;500;2;15;0.83;1;348
Lisboa;Misericrdia;Entire home/apt;105;1;133;1.48;66;295
Sintra;Colares;Private room;65;2;22;0.25;2;358
Lisboa;Misericrdia;Entire home/apt;80;3;83;0.94;1;0
Torres Vedras;S.Pedro e Santiago, S.Maria e S.Miguel, e Mataces;Entire home/apt;25;3;24;0.61;2;359
Lisboa;Santo Antnio;Entire home/apt;37;4;151;1.72;2;102
Lisboa;Misericrdia;Entire home/apt;40;1;532;5.97;2;181
Lisboa;Santa Maria Maior;Entire home/apt;45;1;315;3.51;2;157
Lisboa;Misericrdia;Entire home/apt;70;1;304;3.37;15;337
Lisboa;Arroios;Entire home/apt;70;2;147;1.67;1;274
Lisboa;Avenidas Novas;Entire home/apt;72;5;52;0.69;1;314
Lisboa;Alcntara;Private room;25;2;126;1.76;1;340
Lisboa;Avenidas Novas;Private room;39;2;13;0.69;1;213
Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;Shared room;58;2;35;0.62;1;363
Lisboa;Santa Maria Maior;Entire home/apt;60;2;291;3.30;3;0
Mafra;Ericeira;Entire home/apt;195;5;26;0.30;5;352
Lisboa;Santa Maria Maior;Entire home/apt;150;3;27;0.34;21;339
Cascais;Cascais e Estoril;Entire home/apt;55;4;17;0.42;9;178
Lisboa;So Vicente;Entire home/apt;75;2;152;1.70;9;294
Amadora;Venteira;Entire home/apt;47;1;0;;1;300
Lisboa;Santa Maria Maior;Entire home/apt;50;2;110;1.26;4;359
Cascais;Cascais e Estoril;Entire home/apt;85;5;5;0.06;1;365
Lisboa;Benfica;Entire home/apt;65;3;17;0.20;2;10
Lisboa;Arroios;Private room;25;2;85;0.96;1;301
Lisboa;Misericrdia;Private room;45;3;56;0.62;3;364
Lisboa;Arroios;Entire home/apt;112;2;7;0.37;4;311
Cascais;Cascais e Estoril;Entire home/apt;125;5;14;0.18;1;362
Lisboa;Misericrdia;Entire home/apt;80;2;18;0.21;32;354
Lisboa;Avenidas Novas;Entire home/apt;55;2;228;2.88;3;123
Sintra;Colares;Entire home/apt;236;1;87;1.27;1;211
Lisboa;Santo Antnio;Private room;28;6;11;0.12;8;274
