neighbourhood_group;neighbourhood;room_type;price;minimum_nights;number_of_reviews;reviews_per_month;calculated_host_listings_count;availability_365
Lisboa;Arroios;Entire home/apt;200;3;30;0.48;10;334
Cascais;Cascais e Estoril;Entire home/apt;85;3;21;0.38;3;364
Lisboa;So Vicente;Private room;30;1;265;4.13;1;336
Mafra;Ericeira;Entire home/apt;85;2;10;0.16;17;352
Lisboa;Misericrdia;Entire home/apt;39;2;3;0.05;111;33
Mafra;Ericeira;Entire home/apt;85;1;4;0.06;17;0
Lisboa;Santa Maria Maior;Entire home/apt;80;1;1;0.02;15;348
Lisboa;Santo Antnio;Entire home/apt;52;2;22;0.40;2;182
Lisboa;Santa Maria Maior;Entire home/apt;60;1;0;;1;0
Lisboa;Santa Maria Maior;Entire home/apt;190;2;36;0.56;1;335
Lisboa;Santa Maria Maior;Entire home/apt;29;3;248;3.86;2;38
Lisboa;Santa Maria Maior;Entire home/apt;70;3;71;1.10;2;309
Lisboa;Santa Maria Maior;Entire home/apt;40;2;150;2.32;6;337
Lisboa;So Vicente;Entire home/apt;50;2;267;4.12;12;335
Lisboa;Arroios;Entire home/apt;90;3;0;;1;285
Lisboa;Penha de Frana;Entire home/apt;95;3;112;1.74;1;312
Lisboa;Santa Maria Maior;Entire home/apt;70;2;166;2.57;6;330
Lisboa;Misericrdia;Private room;25;3;15;0.25;1;0
Lisboa;Estrela;Private room;59;1;180;4.18;1;347
Lourinh;Lourinh e Atalaia;Hotel room;99;2;2;0.05;14;231
Oeiras;Oeiras e S.Julio da Barra, Pao de Arcos e Caxias;Entire home/apt;65;3;41;0.64;1;0
Lisboa;So Vicente;Private room;23;2;224;3.46;3;290
Lisboa;Parque das Naes;Entire home/apt;31;5;16;0.29;2;0
Mafra;Ericeira;Entire home/apt;59;2;53;0.82;1;297
Lisboa;Belm;Entire home/apt;85;1;42;0.65;1;266
Mafra;Ericeira;Entire home/apt;45;1;15;0.23;17;358
Lisboa;Santo Antnio;Private room;34;1;266;4.22;2;341
Mafra;Carvoeira;Entire home/apt;80;4;3;0.06;1;2
Lisboa;Misericrdia;Entire home/apt;79;2;7;0.11;111;26
Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;Entire home/apt;90;1;50;0.78;6;284
Cascais;Cascais e Estoril;Entire home/apt;90;3;63;0.98;1;364
Lisboa;Santa Maria Maior;Entire home/apt;490;3;25;0.39;1;183
Lisboa;Areeiro;Entire home/apt;1100;1;0;;1;0
Lisboa;Misericrdia;Entire home/apt;95;3;176;2.78;8;330
Lisboa;Santa Maria Maior;Entire home/apt;79;3;119;1.85;1;330
Lisboa;Misericrdia;Entire home/apt;50;5;75;1.73;5;28
Mafra;Ericeira;Entire home/apt;360;2;1;0.09;5;108
Cascais;So Domingos de Rana;Private room;25;1;1;0.02;1;365
Mafra;Ericeira;Entire home/apt;70;3;122;1.89;1;272
Lisboa;Santa Maria Maior;Entire home/apt;88;1;1;0.04;15;350
Vila Franca De Xira;Castanheira do Ribatejo e Cachoeiras;Entire home/apt;70;3;13;0.24;2;355
Lisboa;Arroios;Private room;35;7;52;0.94;1;331
Lisboa;Misericrdia;Private room;37;2;182;2.82;3;358
Lisboa;Arroios;Entire home/apt;200;3;0;;70;301
Cascais;Cascais e Estoril;Entire home/apt;70;2;39;0.98;1;37
Lisboa;Avenidas Novas;Entire home/apt;52;5;36;0.56;1;240
Lisboa;Estrela;Entire home/apt;159;2;187;2.92;3;343
Lisboa;Santo Antnio;Entire home/apt;75;1;0;;1;0
Cascais;Cascais e Estoril;Entire home/apt;110;4;35;0.64;1;313
Lisboa;Arroios;Entire home/apt;82;2;34;0.53;6;338
Lisboa;Santa Maria Maior;Entire home/apt;100;3;100;1.58;6;357
Mafra;Carvoeira;Entire home/apt;50;3;31;0.50;4;365
Loures;Moscavide e Portela;Private room;35;1;74;7.60;1;297
Cascais;Cascais e Estoril;Entire home/apt;90;5;79;1.41;1;259
Lisboa;Misericrdia;Entire home/apt;125;4;9;0.18;1;16
Lisboa;Estrela;Private room;61;1;402;6.25;44;253
Lisboa;So Vicente;Entire home/apt;55;3;115;1.78;4;90
Lisboa;Misericrdia;Entire home/apt;150;3;179;2.79;1;331
Lisboa;Arroios;Private room;30;7;18;0.28;20;179
Lisboa;Misericrdia;Entire home/apt;27;1;188;2.96;4;330
Lisboa;Arroios;Entire home/apt;80;2;145;2.28;3;323
Lisboa;So Vicente;Entire home/apt;55;3;117;1.81;4;85
Lisboa;Santa Maria Maior;Private room;199;2;107;1.69;6;179
Lisboa;Misericrdia;Entire home/apt;75;2;137;2.13;5;293
Lisboa;Misericrdia;Entire home/apt;50;3;108;1.69;14;355
Lisboa;Misericrdia;Entire home/apt;44;3;104;1.64;14;0
Lisboa;Misericrdia;Entire home/apt;39;3;95;1.49;14;356
Lisboa;Misericrdia;Entire home/apt;45;3;71;1.13;14;360
Lisboa;Santa Maria Maior;Entire home/apt;130;1;254;4.04;3;0
Mafra;Ericeira;Entire home/apt;50;3;101;1.77;1;106
Cascais;Cascais e Estoril;Entire home/apt;59;3;58;0.90;4;289
Cascais;Cascais e Estoril;Entire home/apt;50;3;157;2.46;3;51
Cascais;Cascais e Estoril;Entire home/apt;55;3;174;2.73;3;35
Lisboa;Misericrdia;Entire home/apt;85;2;86;1.37;14;349
Lisboa;So Vicente;Entire home/apt;360;3;45;0.72;70;252
Lisboa;Santa Maria Maior;Entire home/apt;32;3;286;4.43;3;301
Lisboa;Santa Maria Maior;Entire home/apt;99;2;37;0.59;17;200
Lisboa;Misericrdia;Entire home/apt;90;3;80;1.25;1;346
Lisboa;Alvalade;Entire home/apt;50;1;138;2.18;1;329
Lisboa;Santa Maria Maior;Entire home/apt;150;3;7;0.11;6;324
Lisboa;Santa Maria Maior;Entire home/apt;75;3;48;1.49;1;297
Lisboa;Avenidas Novas;Private room;35;2;5;0.08;1;0
Cascais;Cascais e Estoril;Entire home/apt;48;2;31;0.60;1;348
Lourinh;Lourinh e Atalaia;Entire home/apt;45;3;15;0.23;36;347
Mafra;Ericeira;Entire home/apt;55;2;56;0.87;1;0
Lourinh;Lourinh e Atalaia;Entire home/apt;45;3;5;0.09;36;337
Lisboa;Santo Antnio;Private room;20;1;0;;1;0
Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;Entire home/apt;55;1;12;0.19;18;292
Lisboa;Misericrdia;Entire home/apt;39;2;152;2.99;6;352
Mafra;Ericeira;Entire home/apt;200;4;7;0.12;2;270
Lisboa;So Domingos de Benfica;Entire home/apt;80;5;55;0.86;1;0
Lisboa;Santa Maria Maior;Entire home/apt;69;3;156;2.46;1;85
Lisboa;Misericrdia;Entire home/apt;80;1;3;0.06;1;299
Lisboa;Santa Maria Maior;Entire home/apt;64;3;208;3.24;1;325
Lisboa;Misericrdia;Entire home/apt;180;3;7;0.13;1;365
Lisboa;Estrela;Entire home/apt;49;1;191;3.03;2;0
Oeiras;Oeiras e S.Julio da Barra, Pao de Arcos e Caxias;Entire home/apt;35;4;64;1.00;1;149
Cadaval;Lamas e Cercal;Entire home/apt;80;3;54;0.95;2;278
Lisboa;Misericrdia;Entire home/apt;47;3;255;3.97;1;140
Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;Entire home/apt;70;1;45;0.80;18;285
Lisboa;Misericrdia;Entire home/apt;155;2;27;0.47;315;344
Lisboa;Avenidas Novas;Private room;59;1;0;;1;365
Lisboa;Santo Antnio;Entire home/apt;49;1;88;2.17;35;0
Mafra;Ericeira;Entire home/apt;40;3;14;0.36;1;264
Lisboa;Misericrdia;Entire home/apt;45;3;120;1.91;14;83
Lisboa;Alcntara;Entire home/apt;29;3;231;3.59;3;271
Lisboa;Campo de Ourique;Entire home/apt;45;2;38;1.08;1;281
Lisboa;Misericrdia;Entire home/apt;75;2;74;1.20;5;296
Lisboa;Misericrdia;Entire home/apt;45;2;300;4.69;2;5
Lisboa;So Vicente;Entire home/apt;35;2;235;3.69;3;268
Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;Private room;21;2;160;2.54;2;80
Cascais;Cascais e Estoril;Entire home/apt;35;3;86;1.36;3;346
Lisboa;So Vicente;Entire home/apt;135;1;204;3.22;11;315
Mafra;Ericeira;Entire home/apt;700;3;1;0.02;17;331
Lisboa;Misericrdia;Entire home/apt;43;3;118;1.86;14;353
Lisboa;Santa Maria Maior;Entire home/apt;115;54;4;0.06;4;88
Lisboa;Santa Maria Maior;Entire home/apt;98;2;325;5.74;5;213
Lisboa;Misericrdia;Entire home/apt;59;2;123;1.94;15;325
Lisboa;Misericrdia;Entire home/apt;29;2;267;4.19;18;337
Lisboa;Estrela;Entire home/apt;75;2;2;0.04;9;283
Lisboa;Estrela;Entire home/apt;60;2;9;0.14;9;319
Lisboa;Estrela;Entire home/apt;60;2;5;0.08;9;293
Lisboa;Carnide;Entire home/apt;70;4;59;0.98;1;334
Cascais;Cascais e Estoril;Entire home/apt;100;2;4;0.08;2;336
Mafra;Ericeira;Entire home/apt;50;2;11;0.21;1;214
Lisboa;Misericrdia;Entire home/apt;35;2;232;3.62;6;332
Cascais;Cascais e Estoril;Entire home/apt;139;2;14;0.22;1;318
Lisboa;Santa Maria Maior;Entire home/apt;40;2;305;4.82;2;313
Lisboa;Misericrdia;Private room;30;3;99;1.57;25;220
Lisboa;Misericrdia;Private room;26;3;124;1.97;25;358
Lisboa;Misericrdia;Private room;30;3;88;1.40;25;226
Lisboa;Parque das Naes;Entire home/apt;55;3;4;0.07;1;282
Lisboa;Misericrdia;Private room;20;3;166;2.59;25;340
Lisboa;Misericrdia;Private room;30;3;62;1.14;25;345
Lisboa;Misericrdia;Private room;22;3;193;3.18;25;352
Lisboa;Misericrdia;Private room;26;3;89;1.52;25;309
Cascais;Carcavelos e Parede;Private room;29;30;0;;8;89
Cascais;Carcavelos e Parede;Private room;29;1;6;0.11;8;102
Lisboa;Estrela;Entire home/apt;45;1;178;2.83;2;167
Lisboa;Misericrdia;Entire home/apt;45;3;78;1.23;14;363
Lisboa;Belm;Private room;18;2;75;1.18;13;75
Lisboa;Santa Maria Maior;Entire home/apt;37;3;108;1.71;14;344
Lisboa;Estrela;Entire home/apt;41;3;5;0.21;315;318
Lisboa;Misericrdia;Entire home/apt;50;2;263;4.11;15;323
Lisboa;Santo Antnio;Entire home/apt;74;3;218;3.41;27;324
Lisboa;So Vicente;Entire home/apt;35;2;271;4.25;3;210
Lisboa;Misericrdia;Entire home/apt;45;3;91;1.61;14;351
Lisboa;Arroios;Entire home/apt;280;2;224;3.52;2;329
Mafra;Malveira e So Miguel de Alcaina;Entire home/apt;90;2;11;0.21;2;359
Lisboa;Estrela;Entire home/apt;120;3;20;0.33;12;354
Lisboa;Misericrdia;Entire home/apt;56;1;338;5.30;6;348
Lisboa;Estrela;Entire home/apt;70;3;93;1.46;10;54
Lisboa;Misericrdia;Entire home/apt;82;2;102;1.60;192;340
Torres Vedras;Silveira;Entire home/apt;75;5;16;0.31;6;173
Lisboa;Olivais;Entire home/apt;70;3;20;0.47;1;256
Lisboa;Santo Antnio;Entire home/apt;48;2;41;0.67;2;286
Lisboa;Parque das Naes;Entire home/apt;500;2;8;0.18;1;0
Lisboa;Santa Maria Maior;Private room;22;1;66;1.04;8;365
Lisboa;Santa Maria Maior;Entire home/apt;53;3;326;5.12;10;327
Lisboa;Santa Maria Maior;Entire home/apt;37;3;94;1.49;14;363
Lisboa;Misericrdia;Entire home/apt;38;3;156;2.46;1;338
Lisboa;Belm;Private room;13;2;184;3.23;13;0
Lisboa;Belm;Private room;17;2;153;2.81;13;0
Lisboa;Santa Maria Maior;Entire home/apt;119;3;265;4.29;5;339
Lisboa;Parque das Naes;Entire home/apt;119;2;29;0.47;1;51
Lisboa;Misericrdia;Entire home/apt;50;2;248;3.89;4;328
Lisboa;Avenidas Novas;Entire home/apt;100;2;385;6.04;7;347
Lisboa;Santo Antnio;Entire home/apt;66;2;48;0.91;1;353
Lisboa;Santa Maria Maior;Entire home/apt;130;3;79;1.25;70;348
Lisboa;Santa Maria Maior;Entire home/apt;66;3;90;1.42;1;317
Cascais;Cascais e Estoril;Entire home/apt;338;2;45;0.85;2;233
Lisboa;Arroios;Entire home/apt;75;4;40;0.72;5;0
Lisboa;Estrela;Entire home/apt;100;3;17;0.32;1;363
